State/UTs,Crime Head,Year,Cases Pending Investigation from Previous Year,Cases reported during the year,No. of cases withdrawn by the Govt. during investigation,Cases not investigated or in which investigation was refused,Cases declared false on account of mistake of fact or of law,Cases in which chargesheets were laid,Cases in which charge-sheets were not laid but final report submitted during the year,Total cases (Chargesheeted + Final Report submitted),Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,No. of cases withdrawn by the Govt.,Total cases for trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases convicted,Cases acquitted or discharged,Cases pending trial at the end of the year
Andhra Pradesh,Dowry Deaths,2013,312,492,0,0,32,448,1,449,323,1307,448,0,1755,3,452,52,400,1300
Arunachal Pradesh,Dowry Deaths,2013,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
Assam,Dowry Deaths,2013,268,170,0,0,0,103,19,122,316,465,103,0,568,0,68,23,45,500
Bihar,Dowry Deaths,2013,1399,1182,0,0,96,1066,128,1194,1291,5344,1066,0,6410,72,577,149,428,5761
Chhattisgarh,Dowry Deaths,2013,8,109,0,0,0,97,1,98,19,414,97,0,511,1,98,28,70,412
Goa,Dowry Deaths,2013,1,0,0,0,0,1,0,1,0,9,1,0,10,0,2,1,1,8
Gujarat,Dowry Deaths,2013,5,29,0,0,0,29,0,29,5,503,29,0,532,0,26,1,25,506
Haryana,Dowry Deaths,2013,34,263,0,0,36,233,1,234,27,467,233,0,700,0,261,82,179,439
Himachal Pradesh,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,22,0,0,22,0,3,0,3,19
Jammu & Kashmir,Dowry Deaths,2013,2,7,0,0,2,6,0,6,1,60,6,0,66,0,9,1,8,57
Jharkhand,Dowry Deaths,2013,301,307,0,0,8,247,36,283,317,527,247,0,774,0,216,96,120,558
Karnataka,Dowry Deaths,2013,70,277,0,3,11,225,13,238,95,768,225,0,993,3,146,24,122,844
Kerala,Dowry Deaths,2013,25,21,0,0,0,21,0,21,25,182,21,0,203,0,6,1,5,197
Madhya Pradesh,Dowry Deaths,2013,69,776,0,0,0,753,1,754,91,2337,753,0,3090,10,677,220,457,2403
Maharashtra,Dowry Deaths,2013,114,320,0,0,2,328,4,332,100,3764,328,0,4092,3,209,17,192,3880
Manipur,Dowry Deaths,2013,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Meghalaya,Dowry Deaths,2013,5,2,0,0,0,1,0,1,6,6,1,0,7,0,0,0,0,7
Mizoram,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Dowry Deaths,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,Dowry Deaths,2013,444,395,0,0,13,397,7,404,422,1777,397,0,2174,0,224,29,195,1950
Punjab,Dowry Deaths,2013,97,126,0,0,6,93,3,96,121,301,93,0,394,0,120,66,54,274
Rajasthan,Dowry Deaths,2013,83,453,0,0,95,349,1,350,91,1863,349,0,2212,11,220,97,123,1981
Sikkim,Dowry Deaths,2013,2,0,0,0,0,2,0,2,0,2,2,0,4,0,4,2,2,0
Tamil Nadu,Dowry Deaths,2013,131,118,0,0,1,118,5,123,125,565,118,0,683,0,112,27,85,571
Tripura,Dowry Deaths,2013,19,29,0,0,0,36,2,38,10,118,36,0,154,0,12,3,9,142
Uttar Pradesh,Dowry Deaths,2013,400,2335,0,0,96,1864,216,2080,559,7435,1864,0,9299,45,1410,690,720,7844
Uttarakhand,Dowry Deaths,2013,11,43,0,0,1,34,6,40,13,172,34,0,206,1,57,31,26,148
West Bengal,Dowry Deaths,2013,538,481,0,0,0,437,3,440,579,2565,437,0,3002,0,288,33,255,2714
Total (State),Dowry Deaths,2013,4341,7936,0,3,399,6889,447,7336,4539,30973,6889,0,37862,149,5197,1673,3524,32516
A&N Islands,Dowry Deaths,2013,1,1,0,0,0,1,0,1,1,6,1,0,7,0,0,0,0,7
Chandigarh,Dowry Deaths,2013,1,1,0,0,0,1,0,1,1,6,1,0,7,0,5,2,3,2
D&N Haveli,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
Daman & Diu,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Dowry Deaths,2013,73,144,0,0,1,121,4,125,91,887,121,0,1008,0,82,33,49,926
Lakshadweep,Dowry Deaths,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Dowry Deaths,2013,1,1,0,0,0,1,0,1,1,14,1,0,15,0,0,0,0,15
Total (UTs),Dowry Deaths,2013,76,147,0,0,1,124,4,128,94,915,124,0,1039,0,87,35,52,952
Total (All-India),Dowry Deaths,2013,4417,8083,0,3,400,7013,451,7464,4633,31888,7013,0,38901,149,5284,1708,3576,33468
